Day of the week,Time of day,LONGITUDE,LATITUDE,Weather,CrashServerity,Lighting,RoadCondition
1,2,149.134676894323,-35.2869365061316,0,0,0,0
1,2,149.091245958498,-35.4373378594259,0,0,0,0
5,3,149.188242055816,-35.2978013363842,0,0,0,0
3,3,149.14254809355,-35.1798936932613,0,0,0,0
2,4,149.047964492514,-35.3610603776419,0,0,0,0
4,3,149.1426797783,-35.179866510083,0,0,0,0
3,3,149.074414697547,-35.2257160432831,0,0,3,0
7,2,149.072129969085,-35.3963970320416,6,0,0,3
6,3,149.115733756932,-35.4179242044255,0,0,0,0
3,2,149.1347411357,-35.2858278890557,0,0,0,0
4,3,149.156954541486,-35.2307897409198,6,0,0,3
3,3,149.106085676455,-35.4332893960945,0,0,0,0
3,1,149.068963289527,-35.205809809646,0,0,0,0
5,1,149.189091063055,-35.2142981248082,0,0,0,0
1,2,149.062331091703,-35.2231443371814,0,0,0,0
5,1,149.161444685968,-35.3412153357458,0,0,0,0
3,1,149.054603505694,-35.330271401557,0,0,0,0
1,3,149.095328937556,-35.4349107127737,0,0,0,0
2,3,149.127563690706,-35.2859162353868,0,0,1,0
6,3,149.09835616316,-35.3437927975439,0,0,0,0
3,1,149.058608713005,-35.3699788418669,0,0,0,0
6,3,149.134659898778,-35.2687580854083,0,1,1,0
6,3,149.069193868623,-35.2057826574002,0,0,0,0
7,3,149.145435673788,-35.3168386083727,0,0,0,0
5,3,149.065737069672,-35.3200465153007,6,0,0,3
5,3,149.146207002386,-35.234398427105,6,0,0,3
7,3,149.144935374424,-35.3151528036932,0,0,0,0
6,2,149.130445206041,-35.272277300903,0,0,0,0
7,1,149.140886761275,-35.2487710586101,0,0,0,0
1,3,149.085848703381,-35.3894134928345,7,0,0,3
2,3,149.127273745858,-35.2754618885978,0,0,3,0
3,3,149.072636311378,-35.3964418294374,0,0,0,0
1,1,149.070959480864,-35.347928646447,0,0,0,0
4,3,149.140113534808,-35.2774134314579,0,0,0,0
2,4,149.072112558387,-35.3169790989883,6,0,5,3
3,1,149.093138730938,-35.3402456090402,1,0,0,0
7,2,149.087156878861,-35.2336469310182,0,0,0,0
7,2,149.127910088619,-35.1839466229313,0,0,0,0
7,1,149.026797339107,-35.2094643595953,0,0,0,0
2,1,149.076434693117,-35.2912458718084,0,0,0,3
6,2,149.088830368103,-35.2085111902888,0,0,0,0
2,3,149.129406469619,-35.2758743696162,0,0,0,0
2,4,149.171761753759,-35.3246369297903,0,0,3,0
5,3,149.165101762116,-35.2250846898629,0,0,0,0
3,3,149.067987607232,-35.2996860751044,0,0,5,0
7,4,149.095224736614,-35.4346038531599,0,0,4,0
3,3,149.124935836441,-35.3007895616625,0,0,3,0
2,1,149.132182900643,-35.200147258795,0,0,0,0
3,3,149.026796546578,-35.2100700773729,0,0,0,0
7,3,149.134408610363,-35.2482275622978,0,0,0,0
4,4,149.153771043675,-35.2318841176309,0,0,3,0
2,1,149.061226855076,-35.3862452112799,0,0,0,0
2,3,149.149383864355,-35.32308895691,0,0,0,0
5,1,149.114091898086,-35.4168261223768,0,0,4,0
1,2,149.172463722439,-35.3838751144149,0,0,0,0
4,1,149.133940749613,-35.3445093412645,1,0,0,3
4,3,149.135979908206,-35.1845963855225,0,0,0,0
4,1,149.084320667927,-35.3675232183942,0,0,4,0
2,1,149.101103278905,-35.428787094595,6,0,0,3
4,1,149.085354331627,-35.3366210443608,0,0,0,0
5,3,149.154510533734,-35.3263081743117,0,0,0,0
4,1,149.135885374123,-35.2794728061406,0,0,0,0
6,4,149.145618496934,-35.2897546225434,0,0,4,0
2,4,149.146920215168,-35.1817364217846,4,0,5,0
6,3,149.083916202301,-35.2865278794908,7,0,0,3
3,4,149.092548683744,-35.4727013437201,0,0,3,0
5,2,149.051085918893,-35.2693386313601,0,1,0,0
4,2,149.153740863601,-35.2892585093033,0,0,0,0
6,3,149.136018358745,-35.2801756508256,0,0,0,0
5,3,149.084272928396,-35.3396205781464,0,0,3,0
6,4,149.051989146157,-35.3361485011832,0,1,3,0
3,3,149.187361468332,-35.3123398977554,0,0,0,0
5,1,149.062567647826,-35.5344162621121,4,0,1,0
1,1,149.062714730481,-35.3058351152263,6,0,1,3
4,3,149.131414215778,-35.2735471052063,0,0,0,0
6,1,149.065673327868,-35.4184084872723,0,0,0,0
4,4,149.064195389269,-35.2352475265825,7,0,3,3
2,1,149.125727666199,-35.2856296137311,6,0,0,3
4,2,149.145578920613,-35.2792549813034,0,1,0,0
1,4,149.043517360693,-35.2245210365412,0,0,3,0
1,1,149.128235329995,-35.2866996734002,0,0,0,0
1,3,149.100076569973,-35.3478020811898,0,0,0,0
4,3,149.172330365515,-35.3394617410659,0,0,0,0
